Course,Planned number of Students,Senior Hours,Assistant Hours
I-5169,40,260,240
I-5170,50,280,360
I-5171,40,260,240
I-5172,50,260,420
I-5173,20,240,300
I-5174,20,260,200
I-5175,50,280,280
I-5176,60,260,200
I-5177,60,260,300
I-5178,50,260,300
I-5179,50,240,200
I-5180,60,280,240
I-5181,50,280,200
I-5182,40,260,300
I-5183,20,280,280
I-5184,60,280,200
I-5185,20,240,420
I-5186,20,260,300
I-5187,50,260,240
I-5188,50,240,240
I-5189,20,280,420
I-5190,40,280,200
I-5191,20,280,280
I-5192,50,280,300
I-5193,40,280,240
I-5194,50,260,280
I-5195,20,280,200
I-5196,60,260,420
I-5197,60,280,280
I-5198,20,240,420
I-5199,60,240,420
I-5200,20,280,420
I-5201,60,260,360
I-5202,40,240,200
I-5203,20,240,280
I-5204,40,260,300
I-5205,50,280,240
I-5206,40,240,300
I-5207,60,260,360
I-5208,20,240,360
I-5209,60,280,420
I-5210,40,280,280
I-5211,40,260,280
I-5212,20,240,200
I-5213,60,280,200
I-5214,40,280,420
I-5215,50,260,360
I-5216,50,280,240
I-5217,40,280,200
I-5218,50,260,300
I-5219,40,240,420
I-5220,50,260,200
I-5221,40,260,360
I-5222,40,260,420
I-5223,40,280,280
I-5224,40,280,240
I-5225,20,280,200
I-5226,40,240,280
I-5227,40,240,200
I-5228,60,240,200
I-5229,40,260,280
I-5230,40,240,280
I-5231,50,280,420
I-5232,60,240,240
I-5233,20,280,280
I-5234,50,260,280
I-5235,40,240,300
I-5236,40,280,280
I-5237,50,260,280
I-5238,40,280,420
I-5239,50,260,300
I-5240,40,240,300
I-5241,20,260,200
I-5242,20,280,200
I-5243,40,240,300
I-5244,20,280,200
I-5245,50,240,280
I-5246,50,240,360
I-5247,40,280,420
I-5248,60,260,240
I-5249,60,260,420
I-5250,50,240,200
I-5251,40,240,420
I-5252,60,240,360
I-5253,60,280,280
I-5254,60,260,240
I-5255,50,240,240
I-5256,40,260,420
I-5257,40,280,300
I-5258,60,260,300
I-5259,20,260,420
I-5260,50,280,280
I-5261,40,260,360
I-5262,40,240,420
I-5263,60,240,420
I-5264,20,280,280
I-5265,60,260,200
I-5266,60,260,200
I-5267,20,260,280
I-5268,40,240,200
I-5269,20,280,280
I-5270,40,280,360
I-5271,60,260,240
I-5272,20,240,240
I-5273,60,260,280
I-5274,60,280,240
I-5275,60,240,360
I-5276,60,240,240
I-5277,60,240,280
I-5278,60,280,360
I-5279,20,280,240
I-5280,20,260,280
I-5281,20,240,200
I-5282,40,260,200
I-5283,20,280,200
I-5284,20,280,300
I-5285,40,240,300
I-5286,50,240,420
I-5287,50,280,360
I-5288,20,280,300
I-5289,50,240,300
I-5290,60,280,300
I-5291,40,240,360
I-5292,60,280,360
I-5293,20,260,300
I-5294,50,260,300
I-5295,50,280,280
I-5296,40,260,240
I-5297,20,280,240
I-5298,20,260,280
I-5299,40,240,300
I-5300,60,240,200
I-5301,40,240,240
I-5302,40,240,360
I-5303,50,240,360
I-5304,50,260,200
I-5305,60,240,240
I-5306,40,240,420
I-5307,50,260,240
I-5308,60,280,360
I-5309,20,280,420
I-5310,20,240,280
I-5311,60,260,300
I-5312,20,240,360
I-5313,20,240,300
I-5314,40,280,300
I-5315,40,260,240
I-5316,50,280,280
I-5317,20,280,420
I-5318,60,260,360
I-5319,50,240,280
I-5320,60,280,280
I-5321,40,260,200
I-5322,50,260,300
I-5323,20,240,420
I-5324,50,280,300
I-5325,60,280,200
I-5326,60,260,420
I-5327,40,260,300
I-5328,20,280,200
I-5329,60,260,240
I-5330,60,260,360
I-5331,40,280,240
I-5332,40,280,280
I-5333,20,280,280
I-5334,50,280,360
I-5335,40,280,420
I-5336,40,260,280
I-5337,40,240,420
I-5338,40,260,360
I-5339,50,260,420
I-5340,60,240,360
I-5341,40,280,300
I-5342,20,280,240
I-5343,50,280,360
I-5344,60,260,200
I-5345,40,260,280
I-5346,40,280,280
I-5347,40,240,360
I-5348,40,260,240
I-5349,60,280,420
I-5350,50,280,240
I-5351,60,280,300
I-5352,40,260,420
I-5353,50,280,300
I-5354,50,260,360
I-5355,60,280,200
I-5356,20,240,240
I-5357,20,240,240
I-5358,20,240,420
I-5359,60,260,360
I-5360,60,280,280
I-5361,20,280,300
I-5362,20,280,240
I-5363,40,260,280
I-5364,40,260,300
I-5365,40,240,280
I-5366,40,280,280
I-5367,20,240,280
I-5368,60,260,360
I-5369,50,260,300
I-5370,60,280,280
I-5371,20,240,200
I-5372,40,280,240
I-5373,50,280,200
I-5374,60,260,420
I-5375,40,280,280
I-5376,20,260,420
I-5377,60,280,200
I-5378,60,260,280
I-5379,40,260,200
I-5380,40,260,280
I-5381,50,260,300
I-5382,60,240,300
I-5383,60,240,240
I-5384,40,280,360
I-5385,60,280,240
I-5386,50,240,200
I-5387,60,280,200
I-5388,40,280,240
I-5389,40,240,360
I-5390,20,260,300
I-5391,60,260,420
I-5392,60,260,200
I-5393,40,280,200
I-5394,50,280,280
I-5395,50,280,280
I-5396,50,240,360
I-5397,60,260,360
I-5398,60,260,240
I-5399,40,260,300
I-5400,20,240,420
I-5401,60,240,240
I-5402,50,260,360
I-5403,60,260,300
I-5404,40,240,360
I-5405,20,260,280
I-5406,50,260,420
I-5407,40,260,360
I-5408,20,260,280
I-5409,40,240,300
I-5410,50,260,300
I-5411,60,260,200
I-5412,50,240,300
I-5413,60,280,280
I-5414,60,240,300
I-5415,20,260,280
I-5416,20,240,420
I-5417,50,260,360
I-5418,20,240,420
I-5419,40,260,280
I-5420,60,260,420
I-5421,60,280,280
I-5422,50,260,280
I-5423,50,280,360
I-5424,50,240,360
I-5425,50,240,200
I-5426,50,260,240
I-5427,20,240,300
I-5428,50,260,360
I-5429,60,240,200
I-5430,50,260,200
I-5431,20,240,360
I-5432,20,240,280
I-5433,60,240,300
I-5434,20,260,360
I-5435,20,260,240
I-5436,50,240,240
I-5437,60,260,360
I-5438,20,280,300
I-5439,50,240,420
I-5440,60,240,200
I-5441,50,280,240
I-5442,60,240,280
I-5443,20,260,420
I-5444,40,240,300
I-5445,60,260,280
I-5446,40,240,280
I-5447,40,260,240
I-5448,50,240,300
I-5449,60,280,280
I-5450,50,260,240
I-5451,20,260,240
I-5452,20,280,280
I-5453,60,280,240
I-5454,50,260,420
I-5455,50,260,200
I-5456,50,240,280
I-5457,60,260,240
I-5458,60,280,420
I-5459,20,260,300
I-5460,40,260,360
I-5461,40,260,360
I-5462,20,280,420
I-5463,60,280,360
I-5464,20,240,420
I-5465,60,240,420
I-5466,40,240,280
I-5467,40,280,420
I-5468,40,280,280
I-5469,50,260,360
I-5470,60,280,360
I-5471,50,280,420
I-5472,20,260,360
I-5473,60,240,300
I-5474,50,240,420
I-5475,40,280,240
I-5476,50,260,360
I-5477,50,260,420
I-5478,20,240,360
I-5479,40,240,280
I-5480,60,240,200
I-5481,40,280,420
I-5482,50,280,360
I-5483,40,280,280
I-5484,50,260,240
I-5485,50,240,240
I-5486,50,280,360
I-5487,20,240,200
I-5488,20,280,300
I-5489,60,260,240
I-5490,20,280,200
I-5491,60,260,360
I-5492,20,260,300
I-5493,20,260,420
I-5494,20,260,240
I-5495,50,260,360
I-5496,50,260,360
I-5497,20,240,200
I-5498,60,240,200
I-5499,20,240,300
I-5500,40,280,420
I-5501,40,280,300
I-5502,40,280,240
I-5503,50,280,240
I-5504,40,260,300
I-5505,40,260,420
I-5506,20,260,300
I-5507,40,280,420
I-5508,20,240,300
I-5509,20,280,420
I-5510,20,280,360
I-5511,50,280,300
I-5512,60,260,200
I-5513,50,240,300
I-5514,50,260,240
I-5515,50,280,280
I-5516,20,260,200
I-5517,20,260,420
I-5518,40,260,300
I-5519,60,260,200
I-5520,50,260,240
I-5521,40,280,300
I-5522,50,240,280
I-5523,60,280,240
I-5524,60,280,240
I-5525,20,260,200
I-5526,40,260,300
I-5527,20,280,200
I-5528,50,260,360
I-5529,40,240,200
I-5530,50,280,200
